date,hours,project,emloyee_id
2021-02-01,2.5,F30,13
2021-02-01,3.4,W05,70
2021-02-01,2.1,JL9,72
2021-02-01,5.2,F30,3
2021-02-01,2.4,TE1,54
2021-02-01,4.1,TE1,83
2021-02-01,5.4,W05,92
2021-02-01,2.2,YLI,34
2021-02-01,2.7,YLI,84
2021-02-01,4.4,W05,30
2021-02-02,5.6,F30,53
2021-02-02,2.6,W05,47
2021-02-02,2.4,YLI,44
2021-02-02,3.1,YLI,40
2021-02-02,5.3,YLI,10
2021-02-02,3.6,YLI,53
2021-02-02,5.6,F30,56
2021-02-03,4.0,W05,53
2021-02-03,4.6,TE1,86
2021-02-03,2.6,F30,18
2021-02-03,2.8,TE1,47
2021-02-03,2.6,YLI,34
2021-02-03,3.7,YLI,96
2021-02-03,5.2,W05,57
2021-02-03,5.5,W05,40
2021-02-03,5.4,YLI,86
2021-02-03,2.1,TE1,87
